LastName,FirstName,Sex,Ethnicity_Race,Labels,IMDb_URI
Abrams,J.J.,M,W,H,https://www.imdb.com/name/nm0009190/
Allen,Woody,M,W,,https://www.imdb.com/name/nm0000095/
Anderson,Paul Thomas,M,W,,https://www.imdb.com/name/nm0000759/
Anderson,Wes,M,W,,https://www.imdb.com/name/nm0027572/
Araki,Gregg,M,A,Q,https://www.imdb.com/name/nm0000777/
Arnold,Andrea,F,W,,https://www.imdb.com/name/nm0036349/
Aronofsky,Darren,M,W,,https://www.imdb.com/name/nm0004716/
Arteta,Miguel,M,L,,https://www.imdb.com/name/nm0037708/
Baumbach,Noah,M,W,,https://www.imdb.com/name/nm0000876/
Bay,Michael,M,W,H,https://www.imdb.com/name/nm0000881/
Bigelow,Kathryn,F,W,,https://www.imdb.com/name/nm0000941/
Burnett,Charles,M,B,,https://www.imdb.com/name/nm0122344/
Burton,Tim,M,W,H,https://www.imdb.com/name/nm0000318/
Cameron,James,M,W,H,https://www.imdb.com/name/nm0000116/
Campion,Jane,F,W,,https://www.imdb.com/name/nm0001005/
Caro,Niki,F,W,,https://www.imdb.com/name/nm0138927/
Chu,Jon M.,M,A,,https://www.imdb.com/name/nm0160840/
Coen,Joel,M,W,,https://www.imdb.com/name/nm0001054/
Columbus,Chris ,M,W,H,https://www.imdb.com/name/nm0001060/
Coogler,Ryan,M,B,,https://www.imdb.com/name/nm3363032/
Coppola,Francis Ford,M,W,,https://www.imdb.com/name/nm0000338/
Coppola,Sophia,F,W,,https://www.imdb.com/name/nm0001068/
Cronenberg,David,M,W,,https://www.imdb.com/name/nm0000343/
Crowe ,Cameron,M,W,,https://www.imdb.com/name/nm0001081/
Cuarón,Alfonso,M,L,,https://www.imdb.com/name/nm0190859/
Daniels,Lee,M,B,Q,https://www.imdb.com/name/nm0200005/
De Palma,Brian,M,W,,https://www.imdb.com/name/nm0000361/
del Torro,Guillermo,M,L,,https://www.imdb.com/name/nm0868219/
DuVernay,Ava,F,B,,https://www.imdb.com/name/nm1148550/
Eastwood,Clint,M,W,,https://www.imdb.com/name/nm0000142/
Emmerich,Roland,M,W,H,https://www.imdb.com/name/nm0000386/
Favreau,Jon,M,W,H,https://www.imdb.com/name/nm0269463/
Fincher,David  ,M,W,,https://www.imdb.com/name/nm0000399/
Fletcher,Anne,F,W,,https://www.imdb.com/name/nm0281945/
Fukunaga,Cary Joji,M,A,,https://www.imdb.com/name/nm1560977/
Fuqua,Antoine,M,B,,https://www.imdb.com/name/nm0298807/
Gerwig,Greta,F,W,,https://www.imdb.com/name/nm1950086/
Gray,F. Gary,M,B,,https://www.imdb.com/name/nm0336620/
Gray,James,M,W,,https://www.imdb.com/name/nm0336695/
Hardwicke,Catherine,F,W,,https://www.imdb.com/name/nm0362566/
Harjo,Sterlin,M,N,,https://www.imdb.com/name/nm1802161/
Harron,Mary,F,W,,https://www.imdb.com/name/nm0366004/
Haynes,Todd,M,W,Q,https://www.imdb.com/name/nm0001331/
Heckerling,Amy,F,W,,https://www.imdb.com/name/nm0002132/
Heller,Marielle,F,W,,https://www.imdb.com/name/nm1716636/
Holofcener,Nicole,F,W,,https://www.imdb.com/name/nm0392237/
Howard,Ron,M,W,H,https://www.imdb.com/name/nm0000165/
Iñárritu,Alejandro G.,M,L,,https://www.imdb.com/name/nm0327944/
Jackson,Peter,M,W,H,https://www.imdb.com/name/nm0001392/
Jarmusch,Jim,M,W,,https://www.imdb.com/name/nm0000464/
Jenkins,Barry,M,B,,https://www.imdb.com/name/nm1503575/
Jenkins,Patty,F,W,,https://www.imdb.com/name/nm0420941/
Johnson,Rian,M,W,,https://www.imdb.com/name/nm0426059/
Jonze,Spike,M,W,,https://www.imdb.com/name/nm0005069/
Kusama,Karyn,F,A,,https://www.imdb.com/name/nm0476201/
Larraín,Pablo,M,L,,https://www.imdb.com/name/nm1883257/
Lee,Spike,M,B,,https://www.imdb.com/name/nm0000490/
Lee,Ang,M,A,,https://www.imdb.com/name/nm0000487/
Lemmons,Kasi,F,B,,https://www.imdb.com/name/nm0501435/
Linklater,Richard,M,W,,https://www.imdb.com/name/nm0000500/
Lin,Justin,M,A,,https://www.imdb.com/name/nm0510912/
Lynch,David,M,W,,https://www.imdb.com/name/nm0000186/
Malick,Terrence,M,W,,https://www.imdb.com/name/nm0000517/
Mann,Michael,M,W,,https://www.imdb.com/name/nm0000520/
McKay,Adam,M,W,,https://www.imdb.com/name/nm0570912/
Meyers,Nancy,F,W,,https://www.imdb.com/name/nm0583600/
Mills,Mike,M,W,,https://www.imdb.com/name/nm0590122/
Nair,Mira,F,A,,https://www.imdb.com/name/nm0619762/
Nolan,Christopher,M,W,H,https://www.imdb.com/name/nm0634240/
Payne,Alexander,M,W,,https://www.imdb.com/name/nm0668247/
Peele,Jordan,M,B,,https://www.imdb.com/name/nm1443502/
Perry,Tyler,M,B,,https://www.imdb.com/name/nm1347153/
Polley,Sarah,F,W,,https://www.imdb.com/name/nm0001631/
Prince-Blythwood,Gina,F,B,,https://www.imdb.com/name/nm0697656/
Raimi,Sam,M,W,H,https://www.imdb.com/name/nm0000600/
Rees,Dee,F,B,Q,https://www.imdb.com/name/nm2011696/
Reichardt,Kelly,F,W,,https://www.imdb.com/name/nm0716980/
Russell,David O.,M,W,,https://www.imdb.com/name/nm0751102/
Russo,Anthony,M,W,H,https://www.imdb.com/name/nm0751577/
Scorsese,Martin,M,W,,https://www.imdb.com/name/nm0000217/
Scott,Ridley,M,W,H,https://www.imdb.com/name/nm0000631/
Shelton,Lynn,F,W,,https://www.imdb.com/name/nm1119645/
Shyamalan,M. Night,M,A,,https://www.imdb.com/name/nm0796117/
Singer,Bryan,M,W,H,https://www.imdb.com/name/nm0001741/
Soderberg,Steven,M,W,,https://www.imdb.com/name/nm0001752/
Spielberg,Steven,M,W,H,https://www.imdb.com/name/nm0000229/
Stone,Oliver,M,W,,https://www.imdb.com/name/nm0000231/
Tarantino,Quentin,M,W,,https://www.imdb.com/name/nm0000233/
Taymor,Julie,F,W,,https://www.imdb.com/name/nm0853380/
Van Sant,Gus,M,W,Q,https://www.imdb.com/name/nm0001814/
Verbinski,Gore,M,W,H,https://www.imdb.com/name/nm0893659/
Villeneuve,Denis,M,W,,https://www.imdb.com/name/nm0898288/
Wachowski,Lana,F,W,Q,https://www.imdb.com/name/nm0905154/
Wachowski,Lilly,F,W,Q,https://www.imdb.com/name/nm0905152/
Waititi,Taika,M,I,,https://www.imdb.com/name/nm0169806/
Wan,James,M,A,H,https://www.imdb.com/name/nm1490123/
Wang,Wayne,M,A,,https://www.imdb.com/name/nm0911061/
Watts,Jon,M,W,H,https://www.imdb.com/name/nm1218281/
Yates,David,M,W,H,https://www.imdb.com/name/nm0946734/
Zemeckis,Robert,M,W,H,https://www.imdb.com/name/nm0000709/
Zhao,Chloé,F,A,,https://www.imdb.com/name/nm2125482/